,Review,Brand,Total Rating,Look Rating,Smell Rating,Taste Rating,Feel Rating,Overall Rating
154,Just a wonderful collab. The 2020 is great without any further aging.,Appervation ,4.69,4.75,4.5,4.75,4.75,4.75
155,Such an outstanding non-adjunct BBA stout,Appervation ,4.75,4.75,4.75,4.75,4.75,4.75
156,"2020 vintage. Beer pours black with brown foam. Smells like chocolate, coffee and bourbon. The taste stays around quite long, quite some roast and coffee present. The body is just a little thin, but overall a very nice beer.",Appervation ,4.49,4.75,4.5,4.5,4.25,4.5
157,I had a 2016 and was curious what 6 years of aging would do. Definitely mellowed it out a bit and knocked off the rougher edges. Mostly left with a mellow oak and vanilla bourbon flavor over a nice toasty base stout. Quite nice.,Plead The 5th - Bourbon Barrel-Aged ,4.18,4.0,4.0,4.25,4.25,4.25
158,"Look - Fantastic black and thick with a really nice thick foamy tan head', '\nSmell - dark chocolate caramel molasses roasted malts boozy and bourbon woody smells', '\nTaste - chocolate coffee with that woody caramel molasses bourbon barrel from the get go. Slight dark fruit and vanilla in the back with a little bit of bitterness', '\nFeel - medium full body with a very light carb. Could use a little more thickness to it in my opinion but still nice', '\nOverall - Really nice Classic BA Russian Imperial. Very complex with a ton of smells and flavors.",Plead The 5th - Bourbon Barrel-Aged ,4.32,4.75,4.5,4.25,4.0,4.25
159,Pours jet black like used motor oil. Has a medium dark caramel head on top. Gives off a burnt coffee smell. Taste of roasted burning malts. Barrel is nowhere to be found. Overall beer is delicious!!,Plead The 5th - Bourbon Barrel-Aged ,4.58,5.0,4.5,4.75,4.0,4.5
160,"12 oz can poured into a snifter at 55 degrees F. Side by side tasting with Plead the 5th:', '\nL - dark and silky with a dark hazelnut head that quickly evaporated', '\nS - bourbon, molasses', '\nT - lots of bourbon, drowns out most of the other flavor, bit of molasses on the finish', '\nF - thick mouthfeel with medium carbonation', '\nO - good, settles down nicely a bit after being decanted, the bourbon fades a bit and coffee and molasses flavors become more prominent",Plead The 5th - Bourbon Barrel-Aged ,4.36,4.5,4.0,4.5,4.25,4.5
161,"2021-12-17', '\n12oz can served in a footed pilsner glass. No date that I can see. Received in a LIF associated with NBS BIF #14 from @Whyteboar.', '\n', '\nPours black, opaque, thick-looking but not syrupy, with a fairly small but fairly persistent head. Smell is extremely rich, bourbon, vanilla, molasses, dates, tons of anise.', '\n', '\nTaste is super chocolatey, lots of vanilla, anise is more on the back end, hoppy/roasty bitterness coming a bit after that. Building up, giving me burnt toffee character.', '\n', '\nMouthfeel is medium to thick, bit of a chalky texture. This is a very good beer.",Plead The 5th - Bourbon Barrel-Aged ,4.3,4.0,4.5,4.25,4.25,4.25
162,"#86, yum, yum",Plead The 5th - Bourbon Barrel-Aged ,4.9,5.0,5.0,5.0,4.0,5.0
163,"Plead the 5th barrel aged variant is a fantastic stout from Michigan. It is well rounded, comes in 12 oz cans, and heavy on the bourbon. Super sticky and a lot of fruit notes. Impressive from Dark Horse.",Plead The 5th - Bourbon Barrel-Aged ,4.25,4.25,4.25,4.25,4.25,4.25
164,It’s really difficult to get better than this when it comes to Russian imperial stouts. You can see why this is listed as such a respected brew. One I would get again for sure.,Plead The 5th - Bourbon Barrel-Aged ,4.75,4.75,4.75,4.75,4.75,4.75
165,"2015 edition. Poured from a wax-topped 12 oz bottle into a Dogfish Head tulip', '\n', '\nL: Inky black pour with a finger of mocha colored head. Solid lacing.', '\n', '\nS: Rich and roasty... big time cocoa , coffee, and grains plus bourbon/booze.', '\n', '\nT.F: Just like it smells. Loads or roasted malts and burned sugars. Vanilla/bourbon... dark chocolate, espresso, and chicory. Toffee and molasses with a bit of oak and earth. Dark fruit and a hint of licorice. Medium to thick bodied... warming... boozy but not as much as expected. Super smooth and creamy mouthfeel.', '\n', '\nO: An elite BBA RIS. Fantastic flavor... and a great sipper. One to seek out.",Plead The 5th - Bourbon Barrel-Aged ,4.33,4.5,4.5,4.25,4.25,4.25
166,Quite a good Bourbon barrel aged beer if anything I guess it could use a touch more barrel character but it really did round out the aggressive hops and roast that the base beer has. Plus I think people are also forgetting how affordable this beer is I picked up a couple cans for under $4 each and that is quite a steal for such a treatment. Sure it may not be 100 out of 100 but it is still a very smooth easy drinking bba stout.,Plead The 5th - Bourbon Barrel-Aged ,4.68,4.5,4.5,4.75,4.75,4.75
167,"2015 Vintage, 12oz waxed bottle', '\n', '\nL - Appearance is a deep dark brown, nearly black.', '\nS - Very sweet aroma of chocolate, molasses, and possibly root beer?', '\nT - Not at all like it smells, and I can’t quite put my finger on the flavors. Mild carbonation, and I like it better as it warms. Not at all sweet, maybe even a bit bitter. Root beer? Char? Can’t quite tell, but unlike any barrel aged stout I’ve had.', '\nF - Smooth, creamy, moderate thickness', '\nO - Enjoyed this one because it’s different than any stout I’ve ever had. Def not your typical dessert stout",Plead The 5th - Bourbon Barrel-Aged ,4.44,4.5,4.25,4.5,4.5,4.5
168,"""12oz can poured into a tulip. Pours almost black; creamy khaki head that fades leaving solid retention and lacing. The aromas are malt forward. Hints of chocolate and cocoa. Some cherries and dark fruits. Mild hints of vanilla. The bourbon is pretty subtle in the aroma department and almost goes unnoticed. The flavors are balanced. More chocolate leading the way. More hints of vanilla coming from the oak. More cherries and dark fruits. Some raisins too. Some molasses. Subtle spiciness. Possibly some hints of rye and black pepper in the mix. The bourbon is subtle but noticeable and blends well with everything. Subtle sweetness. Low bitterness. Solid malt backbone. Subtle alcohol flavors in the finish along with an enjoyable warmth, but it's not hot or boozy at all. Mouthfeel is very nice. It's full-bodied with moderate carbonation. It's fluffy, velvety, creamy and smooth. "", '\n', ""\nThis is a pretty solid barrel-aged stout. It's subtle and bold at the same time. I always liked Plead The 5th, but never tried the barrel-aged version so I'm glad to have finally tried it after all of these years. It's simply enjoyable and fun to drink. Not bad at all. I like it.""",Plead The 5th - Bourbon Barrel-Aged ,3.81,4.0,3.5,3.75,4.25,4.0
169,"2013 vintage', '\n12 oz wax-tipped bottle, into a snifter. ', '\n', '\nCrude-oil brew, viscous as hell. No apparent carbonation, no head. Nose is anise-forward, with notes of molasses and oak at the edge of the bouquet. Flavors are full of licorice and root beer. Molasses, tobacco, hints of coffee and leather. Mouthfeel is lighter than expected given the lack of carbonation. Medium finish (for the style), sweet with lingering residuals. ', '\n', '\nWonder is the ‘top secret root’ is sarsaparilla?",Plead The 5th - Bourbon Barrel-Aged ,4.33,4.25,4.25,4.5,4.0,4.25
170,"From the 12 oz can (!?!) in a snifter. This solid imperial pours a rich', '\ncoal black with a very nice head of light brown foam that dissipates', '\nto a thick ring, thin swirling pool, and shows some nice lacing. Nose of', '\nbourbon, vanilla, oak, dark coffee, dark chocolate, balanced char and', '\nroast, and loads of warming, astringent booze. Flavors exceed by a nice', '\npresentation of brown sugar, bourbon, vanilla, rich oak, warming booze, ', '\ndark chocolate, faint tobacco, dark fruit notes of black and blueberry, ', '\nand a nice dash of cream. Nice mouth feel; full body, rich, smooth, ', '\nlightly creamy, coating, light carbonation, and a warming boozy finish', '\nwith a bitter malt end note. ', '\n', '\nA wondrous symphony of malt and barrel in perfect harmony!', '\n', '\nCheers",Plead The 5th - Bourbon Barrel-Aged ,4.59,4.25,4.5,4.75,4.5,4.5
171,"""This 2021 release tastes a bit young when compared with prior years. Some 'heat' from the alcohol is evident in the first sips, and the overall taste is not as rich as I remember in prior years. Maybe this one needs some aging to reach its potential., but it's a very good beer now.""",Plead The 5th - Bourbon Barrel-Aged ,4.6,4.75,4.75,4.5,4.75,4.5
172,"""2021 edition. Coffee comes across as burnt, hides the ABV well. Tasty, but not something I'd seek out again.""",Mocha Wednesday ,4.35,4.25,4.25,4.5,4.25,4.25
173,"2016 bottle courtesy of hefman. ', '\n(~5 yrs old at this point). ', '\nL: almost pitch black but not super thick. Minimal to moderate mocha head. ', '\nS: chocolate, coffee, bourbon. ', '\nT: Chocolate, vanilla, bourbon heat, oak. Roasted malt, burnt coffee. ', '\nF: medium, fair bourbon burn. ', '\nOverall: pretty good especially for epic abv, but not great. A little thin, a little too boozy. Coffee flavors are old the old/stale/burnt side.",Mocha Wednesday ,4.03,4.25,4.25,3.75,4.0,4.25
174,Boozy. But still has that mocha kick it advertises.,Mocha Wednesday ,4.53,4.25,4.25,4.75,4.5,4.5
175,"Appearance was tan to dark, nose was a little coffee and some sweetness, taste still had great coffee and plenty of oak and vanilla, feel was velvet and smooth similar to a good barrel aged wheat wine. Amazing that this beer packs a 19%+ abv. Overall, still drinking fantastically four years later.",Mocha Wednesday ,4.68,4.5,4.0,5.0,5.0,4.75
176,"2014 Bottle. Great complexity. Bourbon, chocolate, and coffee come through. A great sipper to share!",Mocha Wednesday ,4.85,4.75,4.75,5.0,4.75,4.75
177,"Bottle dated 1/10/19 poured into a DFH Signature Glass. Body is inky black with a quickly receding soapy head that left zero lacing. Aroma is bourbon, malts, coffee, and dark fruits. Taste is alcohol, cherries, chocolate, coffee, coconut, and vanilla. This beer gets more complex as it warms. Overall this isn’t better than Black Tuesday, but it’s still a world-class BBA Stout.",Mocha Wednesday ,4.7,4.25,4.75,4.75,4.5,4.75
178,"750ml bottle at annual RIS tasting.Absolutely smooth, hint of coffee and lots of chocolate.Black pour with small traces of foam.caramel and boozy notes roond this out. Thick and creamy.",Mocha Wednesday ,4.26,4.0,4.25,4.25,4.5,4.25
179,Both 2014 and 2020 have been some of the best BT variants.,Black Tuesday - Rum Barrel-Aged ,4.8,5.0,5.0,4.75,4.5,4.75
180,Thx Hopelessly0.,Black Tuesday - Rum Barrel-Aged ,4.11,4.5,4.0,4.0,4.25,4.25
181,"Great body. Held up very well original bottle. Not too boozy, smell was great, sweet hint of rum. Great mouthfeel, poured thick. Hint of oak barrel and chocolate on taste.",Black Tuesday - Rum Barrel-Aged ,5.0,5.0,5.0,5.0,5.0,5.0
182,"L: Midnight obsidian and mahogany hues with a thin sandy head', '\nS: Big molasses and raisins with a lingering rum barrel', '\nT: Boozy figs, slight vanilla bean, hint of cacao, and a splash of dark rum', '\nF: Moderately full body with ample carb', '\nO: Nice Black Tuesday variant - the rum is a bit restrained on this batch, perhaps, but embodies the mammoth flavors that are signature to Black Tuesday. Bold, boozy, and makes a statement",Black Tuesday - Rum Barrel-Aged ,4.44,4.5,4.25,4.5,4.5,4.5
183,Big barrel and a decent nose. Wood forward for sure but thin and boozy like a not so thicc barely wine. This is not something I need to seek out again though. Definitely overrated in my opinion and undeserving of a top250 list like this.,Black Tuesday - Rum Barrel-Aged ,2.77,2.0,3.0,3.25,1.75,2.25
184,"2020 vintage', '\n', '\nOh man, we have quite the big boy here. A 21% on a Tuesday afternoon? What the hell am I doing? Well, I’m on vacation this week and today turned out to be a stormy day, so I figured it’s the perfect time to crack this beer I received in a BIF from the legendary @Eziel. I’m getting close to the end of what he sent me, and they’re all heavy hitters. Let’s see what this one is all about', '\n', '\nPours a very dark brown with a finger of light beige head that fades to a ring and leaves minimal lacing', '\n', '\nThere’s a definite sweetness in the nose, but it’s wonderfully balanced given its size. I’m picking up on aromas of chocolate fudge, earthy bourbon, toasted oak, nougat, black cherry, sweet caramel, molasses, toasted hazelnut, and light vanilla', '\n', '\nThis one really packs a punch in taste, heavy booze and char fight for attention while a huge sweetness backs it all up. On the front end of the sip I’m tasting charred oak, cacao, sweet bourbon, red grape, marshmallow, sweet vanilla, molasses, toffee, light nutty malt, and black cherry. The swallow brings notes of hot bourbon, charred oak, nougat, cacao, black cherry, molasses, apple brandy, vanilla, sweet caramel, and nougat', '\n', '\nA full body pairs with gentle carbonation, resulting in a silky and slightly thick beer. Finishes mostly dry but boozy as all hell', '\n', '\nThere’s no 2 ways about it; this beer is incredible. So complex and hitting all the right notes. Perfect for a quiet day to myself hanging out outside while it rains",Black Tuesday - Reserve ,4.52,4.0,4.5,4.75,4.0,4.5
185,"2021 batch. Most of the BT Reserve years is two sets of bourbon barrels, but this one is grape brandy and then bourbon.', '\n', '\nThis one pours a very dark black color, with a small head, and no lacing.', '\n', '\nThis smells like charred oak, lots of bourbon, lots of vinous grape character, brandy, roasted malt, dark fruit.', '\n', '\nThis is a nice bridge between some of overtly wine based Black Tuesday variants, and the regular bourbon Black Tuesday. The grape brandy adds a pleasantly oaky vinous character, sweet, but finishes dry, with oaky char, marshmallow, dark chocolate, caramel, roast, and bourbon.', '\n', '\nThis is medium bodied, slightly thin as most Black Tuesday variants tend to be, with a lots of concentrated booziness. It’s not overwhelmingly boozy, but it really kind of does drink like a distilled stout liqueur.', '\n', '\nI haven’t had much Bruery in a while, but this was definitely a fun beer to revisit this brewery with. It’s definitely something to share with a bunch of people, like 10 people, maybe, but it’s well done.",Black Tuesday - Reserve ,4.22,4.0,4.5,4.25,4.0,4.0
186,"""750 ml wax capped bottle, 2021 edition (aged in Copper & Kings grape brandy barrels for a year, then aged an additional year in bourbon barrels), 21.8% ABV, bottled 01/19/21. Served in a Black Tuesday chalice, the beer pours dark brown/black with not quite an inch tan head that fizzled away somewhat quickly. I like the aroma a lot, the brew smells like dark fruit, brandy, bourbon, vanilla, molasses, dark chocolate and roasted malt. I like the taste a lot too, it's similar to the aroma but with the addition of some dark bread, burnt/charred malt, coffee, licorice and earthy flavors. There's a lot going on here, but all of the flavors mesh well together with no one flavor overpowering the others. Mouthfeel/body is full, it's coating and a bit syrupy with a moderate amount of carbonation. Nowhere near as boozy as I was expecting considering how strong this brew is! Certainly worth trying if you get the chance to!""",Black Tuesday - Reserve ,4.56,4.25,4.5,4.75,4.25,4.5
187,"I believe this was a 2018 bottle (4 years aged). Leaned towards a more licorice flavor. Didn’t pick up much bourbon. Solid beer/liquor drink (20% it’s hard to still consider this a beer). My guess is that perhaps it’s a little better if it were fresher, maybe 6-12mo age which is generally where I like my BA stouts.",Black Tuesday - Reserve ,4.33,4.5,4.5,4.25,4.25,4.25
188,"2015 vintage', '\nLook: very dark. Some cola highlights when held to light. Sparse head of course.', '\nSmell: mellow Black Tuesday underneath. Vanilla, bourbon fudge.', '\nTaste: like the nose. Unbelievably mellow for such a monster.",Black Tuesday - Reserve ,4.8,4.25,4.75,5.0,4.5,4.75
189,"""Review #8000, 2015 vintage. This will be a very emotional review. Normally for big milestones like this, rudzud would have some crazy beer to share, but that can't happen now. Instead this was one from our share box that we got from Hoarders, saving for a special day. He might not be here physically to share it with me, but he's here in spirit."", '\n', '\nPours basically with no head, whisp of fizzy bubbles disappears almost instantly, dark murky molasses brown color with no real light coming through, and legs for days', '\n', '\nNose brings lots of barrel and bourbon, lots of vanilla oak, a bit buttery oak, fresh bourbon barrel juice, a bit like my nose in a Glencairn glass with some decent bourbon, lots of dark malts under that, some roast and coffee, no char, loads of cocoa, dark chocolate, a little nougat candy bar, fudge, a bit of a chocolate syrup as well, a little alcohol', '\n', '\nTaste super rich heavy malts and barrel, dark chocolate, raw cocoa, chocolate syrupy again, a bit of a candy bar with light nougat and caramel notes, some roast and coffee as well, more like a coffee syrup, barrel brings lots of vanilla again and fresh bourbon barrel juice, a little generic whiskey character but some raw sweet bourbon as well, getting fudgey in the middle, some toasted oak character and layers of vanilla, a touch of baking spice, med lighter bitterness mostly from the roasted malts, some hot alcohol not quite fusel but almost there, finishes sticky and coats the mouth, never really goes away, lingering cocoa, fudge, vanilla and generic whiskey', '\n', '\nMouth is full bod, rich syrupy and really coats the mouth, some hot tingly alcohol, med-light foamy carb', '\n', ""\nOverall quite nice, there have been better Bruery beers, but for a Black Tuesday variant adding the extra bourbon and barrel was nice, although I think it has dropped a bit from what it probably was fresh, but alcohol didn't destroy either as the age probably helped there. "", '\n', ""\nI swear I heard a pop sound from my glass while it was resting and I was typing. Matt must have taken his sip, and I hope he enjoyed it. Miss the great bottle shares and fun times. This was just one more milestone in my reviews. I know rudzud always joked about how he would never catch me in reviews, and I guess he was right. I'll keep drinking beers, but I'll always have that hole that will never be filled. Cheers Matt!""",Black Tuesday - Reserve ,4.55,4.25,4.75,4.5,4.5,4.5
190,"Very good head production, considering the sky high ABV and double barrel aging. Quickly fades, as expected, leaving behind only a thin ring of foam around the edge. Body is surprisingly clear and cola-colored.', '\n', ""\nBoozy nose - whoda thunkit? The smell of bourbon, port, and brown sugar wafts over you from the pour itself. Up close it's similar but stronger: red grape, molasses, chocolate, brown sugar, oak, bourbon, vanilla, toffee, honeycomb."", '\n', '\nStrong, sweet, and boozy on the palate, with an alcoholic burn that grows and grows. Very slow sipper. Lasting heat in the throat and chest.', '\n', '\nIncredibly deep and complex, rich and dark. Molasses, brown sugar, oak, bourbon mash, red grape, white bread, light toast, toffee, vanilla, espresso. Long aftertaste, although the booze understandably dissipates rather quickly.",Black Tuesday - Reserve ,4.56,4.0,4.75,4.5,4.25,4.75
191,"2013 in 2022. 8 plus years and zero signs of oxidation. Very dark brown. Nose has light cinnamon behind big bourbon. Super boozy, notes of chocolate and molasses. Big body and medium carbonation with tongue numbing alcohol. Dream ale.",Black Tuesday ,4.72,4.5,4.25,5.0,4.75,4.75
192,"""Received this beauty from Dimidiata in an LIF connected to NBS BIF #14 - and she wasn't even part of that BIF!"", '\nPoured into a stout snifter the color of black coffee while being poured, looked onyx black with enticing looking light brown foam *trying* to form a head but failing, leaving a ring of foam around the edge.', ""\nThe aroma is amazing, and my sense of smell is poor. Bourbon soaked oak, figs or prunes, molasses, leather all roll up into one delectable aroma, though from the description, I wouldn't have thought so. (Leather? Huh)"", '\nThe taste is somehow sublime and over the top. Sublime in layers, the fig and/or prune flavor rises and falls through the chocolate and coffee and char that swirl in, all of which are supplanted by a powerful bourbon laced malty wonderful that is the body of this beer. At 19.5% ABV I was expecting heat from the raw alcohol, but that aspect is all but gone.', ""\nThe feel is definately viscous, and rightfully so. Almost overly so. Just a bit. But that's a tiny quibble."", '\nOA, Wow, really tasty.",Black Tuesday ,4.96,4.75,5.0,5.0,4.75,5.0
193,"""750 ml bottle, 2021 vintage, bottled 09/13/21, 18.9% ABV. Served in a Black Tuesday chalice, the beer pours dark brown/black with about an inch tan head that stuck around a little bit. There's a decent amount of lacing. Aroma is strong, the brew smells like vanilla, bourbon, molasses, figs, dark chocolate, cream, roasted malt and some licorice. Taste is similar to the aroma, but with the addition of some burnt/charred malt, oak, booze, earthy, dark bread and coffee flavors. There's a lot going on with this brew! Mouthfeel/body is full, it's slick and syrupy with a low/moderate amount of carbonation. Has a boozy kick but it's still pretty drinkable for being that strong. Some more age wouldn't hurt this brew at all. I thought this was a pretty good imperial stout, definitely worth trying if you're into big barrel aged imperial stouts!""",Black Tuesday ,4.59,4.25,4.5,4.75,4.5,4.5
194,"Bottle received in Bif13 from @colts9016', '\n', '\nBrewers Notes: Our infamous Black Tuesday is an imperial stout aged in bourbon barrels for over a year. Rich caramel, toasted malt, vanilla, burnt wood and anise are just a few of the many flavors in this rich, decadent imperial stout.', '\n', '\n2020: 19.3% ABV', '\n', '\n#20 ranked stout', '\n#63 overall ranked beer on BA', '\n', '\nChilled bottle rested in my beer fridge for a special event. Thanksgiving table is set , let’s get after it', '\n', '\nPoured into a Spiegelau stout glass , one finger brown foam cap , quickly recedes to a ring over a dark cola red brown liquid ', '\n', '\nAroma is bourbon, tobacco, leather , char, roasted malts ', '\n', '\nTaste is bourbon, char, oak, roasted malts , licorice ', '\n', '\nFizzy , sudsy mouthfeel, relatively light mouthfeel for a 19% abv beer, boozy but without the heat', '\n', '\nGood beer , thanks Jammin!!",Black Tuesday ,4.55,4.25,4.75,4.5,4.5,4.5
195,"Pours close to jet black, small cap of tan head that settles to a thin ring; streaks of ruby when held up to light. Nose has huge notes of leather, molasses, and tobacco; bourbon and barrel notes come secondary as it warms, along with a bit of dark fruit. Taste is super complex, but definitely reflects the aroma - lots of leather, hearty, salty, iron-rich blackstrap molasses, Australian licorice; as it warms, more heat from the barrel, vanilla, char. Mouthfeel is very full, but with a small punch of small carbonation. Despite the warming heat, it hides its alcohol very well. Overall, definitely worth its reputation.",Black Tuesday ,4.7,4.25,4.75,4.75,4.5,4.75
196,"2015', '\nLook - Black and thick with a slight head', '\nSmell -bourbon caramel wood with a slight chocolate', '\nTaste - booze booze booze... roasty caramel bourbon and chocolate', '\nFeel - prtty full with a surpriseing carb', '\nOverall -less than I expected but still really good",Black Tuesday ,4.34,4.25,4.5,4.25,4.5,4.25
197,"I’m reviewing the booziest BT ever…20.3%…I can’t feel my face….this is massive, a true heavy hitter…this is a special one, wow…no words…so sweet, so complex, it’s difficult to assign a score to a beer like this. It’s truly perfect. The epitome of the craft. This is craft beer. More will come from this…I have the 2014+ vintages",Black Tuesday ,4.63,4.5,4.5,4.75,4.75,4.5
198,one of the best stouts you will ever had,Black Tuesday ,4.94,5.0,4.75,5.0,5.0,5.0
199,Such a great beer. For such a high abv it is surprisingly smooth. Rich chocolate flavor balanced with the barrel.,Black Tuesday ,4.91,4.75,5.0,5.0,4.75,4.75
200,"#48 in search of Top 250. 2018 iteration, yummy without being overbearing",Black Tuesday ,4.92,5.0,4.75,5.0,4.75,5.0
201,"""Definitely one of those beers i've waited a long time to get. Found it in a 16 oz can. I've had So Happens it's Tuesday, which I loved, but this is my first of the original. Maybe $25 was too much, maybe not. We'll see. In any case it's the highest ABV of any beer i've ever tried. 17% was the highest I've sampled, but this knocks that back a couple points. I've got a 2020 bottle. Poured out into a snifter, half inch head bubbled up and licked the sides of the glass, receding into a thin collar of beige. The smell is exquisite. That's a strong word, i know, but i think it deserves that descriptor. It's full and strong, bourbon and licorice and fig, that stings the back of the nose as it goes in. 5 on the smell. Love it. Let's sip now, Chocolate, coffee, caramel, toffee, licorice, fig, smoke, char, leather, damn, this is very comparable to Bourbon County Stout. This has been barrel aged for a year, and it sure picks up that bourbon flavor, filling the crevices of my mouth in such a delightful way. I had Indian food for dinner, and I love the layers Indian has, it seems to fill up every bit of my palate. This beer is the same way, it has a way of overcoming and washing over my tastebuds, allowing me to pick up on lots of layers of flavor. It's also like Indian because it's got a spiciness to it, that tickles my tongue and overwhelms me. There is light carbonation, and a medium mouthfeel, not too thick and not too thin. Overall I'm very impressed with this and i'm glad I bought two cans of it. This is the beer of a mature drinker. This is the beer of a wise man. This is the beer of a guy who's well traveled. This is the beer of a guy who's got a financial plan. This is the beer of a man with an important job. This is the beer of a man who knows how to relax with class. This is the beer of a good father. This is the beer of a faithful husband. This is the beer of a youthful grandpa. This is getting my top ratings. What a way to celebrate Father's Day 2021!""",Black Tuesday ,5.0,5.0,5.0,5.0,5.0,5.0
202,This one is THICCC! Very dark and a strong boozy smell. Initial punch of booze and toffee up front and finishes nicely. This is a big one so definitely not on to tackle on your own!,Black Tuesday ,4.24,4.5,4.25,4.25,4.0,4.25
203,Completely unreal thick. Had a 2016 cellared for 4 years. Chocolate and bourbon and a boozy but smooth element. Torquey at almost 20%. All the elements of a world class stout with chocolate and vanilla and tobacco. A dessert,Black Tuesday ,4.72,4.75,4.5,4.75,5.0,4.75
204,"""I tried 2017 and 2020 versions of this beer. Both pretty amazing beers, this rating is for the 2020 version which I thought was a bit more crisp and diverse in it's taste.""",Black Tuesday ,4.55,4.25,4.75,4.5,4.5,4.5
205,2014 bottle,Black Tuesday ,4.55,4.0,4.5,4.75,4.25,4.5
206,"2017 vintage', '\n', '\nIt’s been a while, but I’m back with another BIF beer from @Eziel! This guy supplied me with some truly crazy stuff, and I’m hyped to try this one out. I really liked the raspberry cobbler Black Tuesday variant, so I have high hopes for this one too. Let’s dive into it', '\n', '\nPours a surprisingly light muddy brown with a finger of tan head that quickly fades to nothing and leaves no lacing', '\n', ""\nThe nose here is quite pungent, perhaps an artifact of 5 year old vanilla beans and cacao nibs. I'm picking up on aromas of cocoa powder, raisin, dark chocolate, vanilla bean, heavily roasted coffee, hot bourbon, light toasted oak, and molasses"", '\n', ""\nWhereas the nose was charmingly pungent, the taste is a bit sharp and aggressive. On the front end of the sip I'm tasting hot bourbon, burnt coffee, vanilla bean, dark chocolate, caramel, brown sugar, and molasses. The swallow brings notes of hot bourbon, toasted oak, vanilla bean, cacao nibs, black cherry, burnt coffee, toasted oak, and caramel"", '\n', '\nA full body pairs with gentle tingling carbonation, resulting in a sharp and boozy (duh) beer. Finishes dry but with a serious alcoholic heat', '\n', ""\nDamn, I don't know if it was the age, but I really did not vibe with this one. It's hard to say if it was once well constructed, as it doesn't even really show a shell of what it used to be, save for the aroma. Hopefully the Black Tuesday Reserve he sent me is much better""",Chocolate Rain ,3.8,3.0,4.25,3.75,3.5,3.75
207,"drinking a 2013 in 2022', '\nLook - black and thick no real head', '\nSmell - chocolate vanilla caramel booze ', '\nTaste - boozy chocolate vanilla caramel lots of barrel ', '\nFeel - full body very very light carb', '\nOverall - not bad for being 9 years old",Chocolate Rain ,4.57,4.0,4.5,4.75,4.5,4.5
208,Tummy!,Chocolate Rain ,4.9,5.0,5.0,5.0,4.0,5.0
209,"2013 Vintage, drank 02/05/21', '\n', '\nLook - Black, with a brown twinge', '\n', '\nSmell - Very strong Chocolate, tobacco, and bourbon barrel. As it warmed up, the aroma really came through', '\n', '\nTaste - WOW, this was better than expected. Chocolate Fudge, Anise, and a heavy barrel presence. At 18%, it hides the alcohol really well. It’s there, but I’ve had 10% beers that are more boozy. Awesome after dinner sipper', '\n', '\nFeel - A little thin, but it’s from 2013. Actually not nearly as bad as expected.', '\n', '\nOverall - This was a pleasant surprise. Being from 2013, this beer has held up VERY well. Really smooth, bourbon barrel chocolatey stout. Enjoyed this more than it’s base Black Tuesday. Those cocoa nibs must add something special!",Chocolate Rain ,4.71,4.5,4.75,4.75,4.5,4.75
210,Super thin and flat.,Chocolate Rain ,3.89,3.75,4.0,4.0,3.0,4.0
211,"2016 bottle courtesy of hefman. ', '\nL: almost pitch black but not super thick. Minimal to moderate mocha head. ', '\nS: chocolate, vanilla, bourbon. ', '\nT: Chocolate, vanilla, bourbon heat, oak. Roasted malt, date/fig, brown sugar, black licorice notes. ', '\nF: medium, slight bourbon burn. ', '\nOverall: not overly complex. The biggest feat is making this 20% beast without it being a burny booze bomb, which it does very very well. I’ve had 10% beers that felt more filling and/or boozy. ', '\nThis is about 4 years old and has the vanilla and cocoa so maybe that has helped even more.",Chocolate Rain ,4.52,4.0,4.5,4.75,4.0,4.5
212,"Thank you Orca_Whale for this', '\n750 ml bottle, 2017, poured into a tulip', '\n', '\nA- Black with a small mocha head.', '\n', '\nS- Figs, chocolate, bourbon, some vanilla, oak, some toffee, roasted malts.', '\n', '\nT- Chocolate, vanilla, some toffee, bourbon, oak, figs, roasted malts, a slightly charred quality to the finish.', '\n', '\nM- Smooth, full body, minimal heat for the ABV.', '\n', '\nO- This is fantastic. I recently reviewed a fresh can of Black Tuesday, and I will say between the aging of this and the cocoa and vanilla additions it smooths out all the rougher edge of the Black Tuesday.",Chocolate Rain ,4.64,4.25,4.5,4.75,4.5,4.75
213,"2016 release - consumed on November 12, 2020. ', ""\nPours a very dark brown. 1 finger off white head. For the ABV, the retention is good. The head dissipates to a ring around the edge of the glass. There's some decent carbonation rising in the glass that makes the ring swirl about. No lacing on the glass. "", '\nThe nose is a sweet toffee aroma from the barrels. I do get a chocolate and vanilla undertone. ', ""\nTaste - Like the nose tons of toffee. The chocolate is really muted. I don't know if it would be stronger fresh. The chocolate and vanilla are on the backside. "", '\nVery boozy, which isn\'t surprising. Even aged 4 years, very ""hot"". It isn\'t as thick as I was expecting. ', ""\nThis is an interesting beer. good, but you know it's very strong, and must be slowly enjoyed.""",Chocolate Rain ,4.26,4.75,4.25,4.25,4.0,4.25
214,"""Boy oh boy. You take an already infamous beer and up the ante by adding vanilla and cocoa. Gnarly. It's a beastly beer that is a true sipper if Ive ever seen one. It's rich, dark, heavy, sweet and delicious. The addition of cocoa and vanilla add flavor to a beer that, honestly, didnt really need any help but somehow serves as an upgrade. Great beer, share it with good friends, dont drive afterward.""",Chocolate Rain ,4.54,4.5,4.25,4.75,4.5,4.5
